,authors,tweets,likes,retweets,time
96,WorldHockeyNews,"#EHF EuroHockey Qualifiers, Men and Women 2022 – update

Update 4th May 2022, Brussels, Belgium: Due to the exclusion of Russia and Belarus, the EuroHockey Qualifier events had to be reviewed. 

In particular, the men’s events had to be revised as the ev… https://t.co/swdge6ylyx",1,0,2022-05-04 10:11:21+00:00
97,CaledoniaAlbion,"RT @hockeyWrldNws: Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Rop…",0,5,2022-05-04 09:21:08+00:00
98,Rockokoko78,@NakEdNic1 @fhumpires @irishhockey @ScottishHockey @eurohockeyorg @FIH_Hockey Ireland won 6 - 4,0,0,2022-05-04 09:20:52+00:00
99,HalfCourtPress1,@hockeyWrldNws @TaoMacLeod @FIH_Hockey @ehf_marijke @eurohockeyorg Looks like a good edition this month…,2,0,2022-05-04 09:18:38+00:00
100,TaoMacLeod,"RT @hockeyWrldNws: Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Rop…",0,5,2022-05-04 09:15:02+00:00
101,UKAF_Hockey,"RT @hockeyWrldNws: Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Rop…",0,5,2022-05-04 08:19:45+00:00
102,HockeyWriters1,"RT @hockeyWrldNws: Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Rop…",0,5,2022-05-04 08:18:23+00:00
103,jjbloom_,"RT @hockeyWrldNws: Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Rop…",0,5,2022-05-04 08:18:02+00:00
104,hockeyWrldNws,"Hockey World News Edition 24 

Hockey World News is back and with a sleek new look. 

From Rick Charlesworth to Phil Roper to Tao MacLoed, we have something for everyone in Edition 24.

https://t.co/ApMMWIPvsl

#hockey #proleague #sport @FIH_Hockey @ehf_marijke @eurohockeyorg",12,5,2022-05-04 08:17:39+00:00
105,NakEdNic1,@Rockokoko78 @fhumpires @irishhockey @ScottishHockey @eurohockeyorg @FIH_Hockey Nice. What was the score?,0,0,2022-05-04 08:11:48+00:00
106,WorldHockeyNews,"#THP Meet Witney women, one of English hockey’s smallest National League teams

Nestled close to Oxford lies the leafy village of Witney, whose women’s hockey first team has enjoyed a meteoric rise up the league tables in recent times with a spate of pro… https://t.co/WoOE38TNHr",0,0,2022-05-04 06:39:06+00:00
107,WorldHockeyNews,"#THP Hidden gem Cullum-Sanders makes Australia squad in centenary Test year

Untried 18-year-old Queenslander Hannah Cullum-Sanders has been included in the Australia women’s squad for the upcoming Tests against New Zealand. The Trans-Tasman Series will … https://t.co/NbXYq3JkRW",0,0,2022-05-04 06:39:05+00:00
108,nolom88,"RT @Rockokoko78: Ireland v Scotland today. Uncapped but it’s still and International whatever way you look at it 🏑😤

@irishhockey @Scottish…",0,2,2022-05-04 03:00:07+00:00
109,biggsbloke,@Rockokoko78 @irishhockey @ScottishHockey @fhumpires @eurohockeyorg @FIH_Hockey So..... smile!!,1,0,2022-05-04 00:01:58+00:00
